[12/Aug/2018 13:05:31] DEBUG [CALL:29] Call get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:31] DEBUG [CALL:29] Call get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:05:32] DEBUG [CALL:32] Exiting get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:05:32] DEBUG [CALL:29] Call get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:05:35] DEBUG [CALL:32] Exiting get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:05:35] DEBUG [CALL:32] Exiting get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:35] DEBUG [CALL:32] Exiting get_context in e_logs.common.all_journals_app.views, line 136
[12/Aug/2018 13:05:36] DEBUG [CALL:32] Exiting get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:05:36] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:36] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:36] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:36] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:36] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:36] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:36] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:36] DEBUG [CALL:29] Call get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:05:37] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:37] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:38] DEBUG [CALL:32] Exiting get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:05:38] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:42] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:42] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:42] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
